x RMSE, y RMSE, vx RMSE, vy RMSE, NIS, Sensor
0.0561794, 0.0923364, 0.684602, 0.392336, 4.89804,1
0.056606, 0.0918716, 0.681305, 0.390354, 0.00103229,0
0.0563725, 0.0914121, 0.677919, 0.388991, 10.2889,1
0.0566234, 0.0909592, 0.674562, 0.387493, 4.76351,0
0.0570733, 0.090513, 0.671357, 0.385589, 3.83771,1
0.0572252, 0.0902735, 0.668101, 0.384021, 1.08037,0
0.0570324, 0.0899531, 0.664937, 0.382192, 3.20375,1
0.0571499, 0.0896099, 0.661764, 0.3804, 1.84404,0
0.0573988, 0.0892087, 0.658637, 0.378731, 2.0289,1
0.0575322, 0.0888001, 0.655553, 0.3773, 0.872877,0
0.0576004, 0.0884096, 0.652514, 0.37573, 1.32651,1
0.0577705, 0.0880134, 0.649515, 0.374009, 1.45402,0
0.0578614, 0.0876135, 0.646556, 0.372439, 0.801485,1
0.0578299, 0.0872598, 0.643655, 0.37076, 0.471412,0
0.0576914, 0.0868935, 0.640811, 0.369105, 1.37301,1
0.0574536, 0.0866939, 0.638255, 0.367535, 1.21784,0
0.0572145, 0.0864197, 0.635618, 0.365991, 3.35141,1
0.0570748, 0.0860717, 0.632853, 0.364396, 2.15844,0
0.0568283, 0.0857057, 0.630218, 0.363757, 7.71823,1
0.0569393, 0.0855489, 0.627533, 0.363996, 2.89903,0
0.0571711, 0.0856422, 0.624909, 0.364319, 1.17667,1
0.0572306, 0.0856406, 0.622281, 0.364016, 0.252072,0
0.0573624, 0.0857491, 0.619701, 0.363265, 1.78833,1
0.0574896, 0.0862141, 0.617165, 0.362795, 0.35566,0
0.0576801, 0.0869512, 0.614675, 0.362475, 0.20295,1
0.0576444, 0.0873309, 0.612171, 0.361539, 0.497774,0
0.0574605, 0.0878522, 0.609759, 0.361276, 6.83817,1
0.0573438, 0.0877062, 0.607926, 0.360054, 2.14563,0
0.0571165, 0.0875179, 0.605631, 0.358631, 5.84156,1
